,black,asian,hispanic,white,other
1990,12%,3%,9%,76%,0%
1991,12%,3%,9%,75%,0%
1992,12%,3%,10%,75%,1%
1993,12%,3%,10%,74%,1%
1994,12%,3%,10%,73%,1%
1995,12%,3%,11%,73%,1%
1996,12%,3%,11%,72%,2%
1997,12%,3%,11%,71%,2%
1998,12%,4%,12%,70%,2%
1999,12%,4%,12%,70%,2%
2000,12%,4%,13%,69%,3%
2001,12%,4%,13%,69%,2%
2002,12%,4%,13%,68%,2%
2003,12%,4%,14%,68%,2%
2004,12%,4%,14%,67%,2%
2005,12%,4%,14%,67%,2%
2006,12%,4%,15%,66%,2%
2007,13%,4%,15%,66%,2%
2008,13%,5%,16%,65%,2%
2009,13%,5%,16%,65%,2%
2010,13%,5%,16%,64%,2%
2011,13%,5%,17%,64%,2%
2012,13%,5%,17%,63%,2%
2013,13%,5%,17%,63%,2%
2014,13%,5%,18%,62%,2%
2015,13%,5%,18%,62%,2%
2016,13%,5%,19%,61%,2%
